date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:10	87306/87306	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:11%20GMT	http://websmirno.site/voicer/blog.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/blog.html	(from http://websmirno.site/voicer/)
16:03:10	337937/337937	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:07%20GMT	http://websmirno.site/voicer/projects.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/projects.html	(from http://websmirno.site/voicer/)
16:03:10	92794/92794	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:06%20GMT	http://websmirno.site/voicer/shop.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/shop.html	(from http://websmirno.site/voicer/)
16:03:13	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2016%20Jan%202023%2010:33:13%20GMT	http://websmirno.site/voicer/contact.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/contact.12.delayed	(from http://websmirno.site/voicer/)
16:03:14	102532/102532	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:08%20GMT	http://websmirno.site/voicer/product.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/product.html	(from http://websmirno.site/voicer/)
16:03:14	49322/49322	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:10%20GMT	http://websmirno.site/voicer/cart.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/cart.html	(from http://websmirno.site/voicer/)
16:03:20	323343/323343	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:09%20GMT	http://websmirno.site/voicer/gallery.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/gallery.html	(from http://websmirno.site/voicer/)
16:03:28	66083/66083	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:00%20GMT	http://websmirno.site/voicer/img/studio-2.jpg	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/img/studio-2.jpg	(from http://websmirno.site/voicer/)
16:03:28	45400/45400	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:01%20GMT	http://websmirno.site/voicer/img/studio-3.jpg	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/img/studio-3.jpg	(from http://websmirno.site/voicer/)
16:03:29	77169/77169	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:59%20GMT	http://websmirno.site/voicer/img/studio-1.jpg	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/img/studio-1.jpg	(from http://websmirno.site/voicer/)
16:03:30	89519/89519	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:32%20GMT	http://websmirno.site/voicer/img/main-slider-2.jpg	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/img/main-slider-2.jpg	(from http://websmirno.site/voicer/)
